Block,gen[B],kill[B],in[B],out[B]
B0,"{'D1', 'D2'}","{'D24', 'D3'}",{},"{'D1', 'D2'}"
B1,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B2,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B3,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B4,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B5,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B6,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B7,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B8,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B9,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D2', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D9', 'D22', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B10,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D2', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D9', 'D22', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}"
B11,{'D3'},{'D2'},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D2', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B12,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B13,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B14,{'D4'},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D9', 'D22', 'D30', 'D26', 'D23'}","{'D24', 'D4', 'D17', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D9', 'D22', 'D30', 'D5', 'D12', 'D26', 'D23'}"
