Block,gen[B],kill[B],in[B],out[B]
B0,{},{},{},{}
B1,{},{},{},{}
B2,{},{},{},{}
B3,{},{},{},{}
B4,{},{},{},{}
B5,{},{},{},{}
B6,{},{},{},{}
B7,{},{},{},{}
B8,{},{},{},{}
B9,{},{},{},{}
B10,{},{},{},{}
B11,{},{},{},{}
B12,{},{},{},{}
B13,{},{},{},{}
B14,{},{},{},{}
B15,{},{},{},{}
B16,{},{},{},{}
B17,{},{},{},{}
B18,{},{},{},{}
B19,{},{},{},{}
B20,{},{},{},{}
B21,{},{},{},{}
B22,{},{},{},{}
B23,{},{},{},{}
B24,{},{},{},{}
B25,{},{},{},{}
B26,{},{},{},{}
B27,{},{},{},{}
B28,{},{},{},{}
B29,{},{},{},{}
B30,{'D14'},{'D1'},{},{'D14'}
B31,{},{},{'D14'},{'D14'}
B32,{},{},{'D14'},{'D14'}
B33,{},{},{'D14'},{'D14'}
B34,{},{},{'D14'},{'D14'}
B35,{'D2'},{'D4'},{'D14'},"{'D14', 'D2'}"
B36,{},{},"{'D14', 'D3', 'D4', 'D2'}","{'D4', 'D3', 'D2', 'D14'}"
B37,{},{},"{'D3', 'D14', 'D4', 'D2'}","{'D14', 'D4', 'D2', 'D3'}"
B38,{},{},"{'D14', 'D4', 'D2', 'D3'}","{'D14', 'D4', 'D2', 'D3'}"
B39,{'D3'},{'D5'},"{'D14', 'D4', 'D2', 'D3'}","{'D3', 'D14', 'D4', 'D2'}"
B40,{},{},"{'D14', 'D4', 'D2', 'D3'}","{'D14', 'D4', 'D2', 'D3'}"
B41,{},{},"{'D14', 'D4', 'D2', 'D3'}","{'D14', 'D4', 'D2', 'D3'}"
B42,{},{},"{'D14', 'D3', 'D4', 'D2'}","{'D4', 'D3', 'D2', 'D14'}"
B43,{},{},"{'D14', 'D3', 'D4', 'D2'}","{'D4', 'D3', 'D2', 'D14'}"
B44,{'D4'},{'D2'},"{'D14', 'D3', 'D4', 'D2'}","{'D4', 'D3', 'D14'}"
B45,{},{},"{'D3', 'D14', 'D4', 'D5'}","{'D14', 'D4', 'D5', 'D3'}"
B46,{},{},"{'D14', 'D5', 'D3', 'D4'}","{'D5', 'D4', 'D3', 'D14'}"
B47,{},{},"{'D5', 'D4', 'D3', 'D14'}","{'D5', 'D4', 'D3', 'D14'}"
B48,{'D5'},{'D3'},"{'D5', 'D4', 'D3', 'D14'}","{'D5', 'D4', 'D14'}"
B49,{},{},"{'D5', 'D4', 'D14'}","{'D5', 'D4', 'D14'}"
B50,{},{},"{'D5', 'D4', 'D14'}","{'D5', 'D4', 'D14'}"
B51,{},{},"{'D3', 'D14', 'D4', 'D5'}","{'D14', 'D4', 'D5', 'D3'}"
B52,{},{},"{'D3', 'D14', 'D4', 'D5'}","{'D14', 'D4', 'D5', 'D3'}"
B53,{},{},"{'D3', 'D14', 'D4', 'D5'}","{'D14', 'D4', 'D5', 'D3'}"
B54,"{'D6', 'D7'}","{'D9', 'D10'}","{'D14', 'D3', 'D4', 'D5'}","{'D6', 'D3', 'D14', 'D4', 'D5', 'D7'}"
B55,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B56,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B57,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B58,{'D8'},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D7', 'D6', 'D3', 'D5', 'D8', 'D4', 'D9', 'D10'}"
B59,{},{},"{'D14', 'D7', 'D6', 'D3', 'D5', 'D8', 'D4', 'D9', 'D10'}","{'D14', 'D7', 'D6', 'D3', 'D5', 'D8', 'D4', 'D9', 'D10'}"
B60,"{'D9', 'D10'}","{'D6', 'D7'}","{'D14', 'D7', 'D6', 'D3', 'D5', 'D8', 'D4', 'D9', 'D10'}","{'D14', 'D3', 'D5', 'D8', 'D4', 'D9', 'D10'}"
B61,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B62,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B63,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B64,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B65,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
B66,{},{},"{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}","{'D14', 'D5', 'D7', 'D6', 'D3', 'D4', 'D8', 'D9', 'D10'}"
